rank,pos,first,last,team,bye
1,(WR1),Antonio,Brown,PIT,8
2,(WR2),Julio,Jones,ATL,11
3,(WR3),Odell,Beckham Jr.,NYG,8
4,(WR4),DeAndre,Hopkins,HOU,9
5,(RB1),David,Johnson,ARI,9
6,(RB2),Todd,Gurley,LA,8
7,(WR5),A.J.,Green,CIN,9
8,(RB3),Adrian,Peterson,MIN,6
9,(RB4),Lamar,Miller,HOU,9
10,(WR6),Dez,Bryant,DAL,7
11,(WR7),Allen,Robinson,JAC,5
12,(RB5),Ezekiel,Elliott,DAL,7
13,(RB6),Le'Veon,Bell,PIT,8
14,(TE1),Rob,Gronkowski,NE,9
15,(RB7),Devonta,Freeman,ATL,11
16,(WR8),Brandon,Marshall,NYJ,11
17,(WR9),Alshon,Jeffery,CHI,9
18,(WR10),Keenan,Allen,SD,11
19,(WR11),Jordy,Nelson,GB,4
20,(WR12),Sammy,Watkins,BUF,10
21,(WR13),Mike,Evans,TB,6
22,(RB8),LeSean,McCoy,BUF,10
23,(RB9),Mark,Ingram,NO,5
24,(RB10),Doug,Martin,TB,6
25,(WR14),Brandin,Cooks,NO,5
26,(WR15),Jarvis,Landry,MIA,8
27,(WR16),T.Y.,Hilton,IND,10
28,(TE2),Jordan,Reed,WAS,9
29,(RB11),Eddie,Lacy,GB,4
30,(RB12),Carlos,Hyde,SF,8
31,(RB13),C.J.,Anderson,DEN,11
32,(RB14),Jamaal,Charles,KC,5
33,(WR17),Amari,Cooper,OAK,10
34,(WR18),Eric,Decker,NYJ,11
35,(WR19),Jeremy,Maclin,KC,5
36,(WR20),Demaryius,Thomas,DEN,11
37,(RB15),Danny,Woodhead,SD,11
38,(RB16),DeMarco,Murray,TEN,13
39,(RB17),Matt,Forte,NYJ,11
40,(RB18),Jonathan,Stewart,CAR,7
41,(WR21),Emmanuel,Sanders,DEN,11
42,(QB1),Cam,Newton,CAR,7
43,(WR22),Randall,Cobb,GB,4
44,(WR23),Julian,Edelman,NE,9
45,(WR24),Donte,Moncrief,IND,10
46,(WR25),Golden,Tate,DET,10
47,(WR26),Jordan,Matthews,PHI,4
48,(TE3),Greg,Olsen,CAR,7
49,(QB2),Russell,Wilson,SEA,5
50,(QB3),Aaron,Rodgers,GB,4
51,(WR27),Larry,Fitzgerald,ARI,9
52,(WR28),Marvin,Jones,DET,10
53,(WR29),Doug,Baldwin,SEA,5
54,(WR30),Michael,Floyd,ARI,9
55,(RB19),Jeremy,Hill,CIN,9
56,(RB20),Thomas,Rawls,SEA,5
57,(RB21),Latavius,Murray,OAK,10
58,(RB22),Ryan,Mathews,PHI,4
59,(RB23),Giovani,Bernard,CIN,9
60,(TE4),Delanie,Walker,TEN,13
61,(QB4),Andrew,Luck,IND,10
62,(RB24),Frank,Gore,IND,10
63,(RB25),Jeremy,Langford,CHI,9
64,(RB26),Ameer,Abdullah,DET,10
65,(RB27),Rashad,Jennings,NYG,8
66,(RB28),Melvin,Gordon,SD,11
67,(RB29),T.J.,Yeldon,JAC,5
68,(QB5),Ben,Roethlisberger,PIT,8
69,(QB6),Drew,Brees,NO,5
70,(WR31),John,Brown,ARI,9
71,(WR32),Michael,Crabtree,OAK,10
72,(WR33),Kelvin,Benjamin,CAR,7
73,(RB30),Duke,Johnson Jr.,CLE,13
74,(RB31),Charles,Sims,TB,6
75,(RB32),Arian,Foster,MIA,8
76,(RB33),Bilal,Powell,NYJ,11
77,(RB34),Matt,Jones,WAS,9
78,(QB7),Tom,Brady,NE,9
79,(QB8),Carson,Palmer,ARI,9
80,(WR34),Sterling,Shepard,NYG,8
81,(WR35),Stefon,Diggs,MIN,6
82,(WR36),Tyler,Lockett,SEA,5
83,(WR37),Willie,Snead,NO,5
84,(WR38),Tavon,Austin,LA,8
85,(WR39),Torrey,Smith,SF,8
86,(WR40),DeSean,Jackson,WAS,9
87,(WR41),Josh,Gordon,CLE,13
88,(QB9),Eli,Manning,NYG,8
89,(QB10),Philip,Rivers,SD,11
90,(QB11),Tyrod,Taylor,BUF,10
91,(TE5),Travis,Kelce,KC,5
92,(TE6),Coby,Fleener,NO,5
93,(TE7),Tyler,Eifert,CIN,9
94,(RB35),Theo,Riddick,DET,10
95,(RB36),Chris,Ivory,JAC,5
96,(WR42),Vincent,Jackson,TB,6
97,(WR43),Allen,Hurns,JAC,5
98,(WR44),Michael,Thomas,NO,5
99,(WR45),Mohamed,Sanu,ATL,11
100,(WR46),Mike,Wallace,BAL,8
101,(RB37),Derrick,Henry,TEN,13
102,(RB38),James,White,NE,9
103,(RB39),Isaiah,Crowell,CLE,13
104,(RB40),Kenneth,Dixon,BAL,8
105,(RB41),Darren,Sproles,PHI,4
106,(RB42),LeGarrette,Blount,NE,9
107,(RB43),Terrance,West,BAL,8
108,(RB44),Spencer,Ware,KC,5
109,(TE8),Zach,Ertz,PHI,4
110,(TE9),Gary,Barnidge,CLE,13
111,(TE10),Antonio,Gates,SD,11
112,(WR47),Kevin,White,CHI,9
113,(WR48),Tajae,Sharpe,TEN,13
114,(WR49),DeVante,Parker,MIA,8
115,(WR50),Will,Fuller,HOU,9
116,(WR51),Corey,Coleman,CLE,13
117,(WR52),Chris,Hogan,NE,9
118,(WR53),Devin,Funchess,CAR,7
119,(WR54),Phillip,Dorsett,IND,10
120,(WR55),Travis,Benjamin,SD,11
121,(WR56),Markus,Wheaton,PIT,8
122,(WR57),Eli,Rogers,PIT,8
123,(RB45),Devontae,Booker,DEN,11
124,(RB46),Shane,Vereen,NYG,8
125,(RB47),DeAngelo,Williams,PIT,8
126,(RB48),Chris,Thompson,WAS,9
127,(WR58),Tyler,Boyd,CIN,9
128,(WR59),Kenny,Stills,MIA,8
129,(RB49),Robert,Kelley,WAS,9
130,(RB50),Jay,Ajayi,MIA,8
131,(QB12),Kirk,Cousins,WAS,9
132,(QB13),Matthew,Stafford,DET,10
133,(QB14),Blake,Bortles,JAC,5
134,(QB15),Andy,Dalton,CIN,9
135,(RB51),Jerick,McKinnon,MIN,6
136,(RB52),C.J.,Spiller,NO,5
137,(TE11),Julius,Thomas,JAC,5
138,(WR60),Steve,Smith Sr.,BAL,8
139,(WR61),Kamar,Aiken,BAL,8
140,(TE12),Martellus,Bennett,NE,9
141,(DST1),Seattle,Seahawks,SEA,5
142,(DST2),Cincinnati,Bengals,CIN,9
143,(DST3),Denver,Broncos,DEN,11
144,(DST4),Carolina,Panthers,CAR,7
145,(DST5),Houston,Texans,HOU,9
146,(DST6),Arizona,Cardinals,ARI,9
147,(DST7),Kansas,City Chiefs,KC,5
148,(K1),Stephen,Gostkowski,NE,9
149,(DST8),Green,Bay Packers,GB,4
150,(DST9),New,York Jets,NYJ,11
151,(DST10),Oakland,Raiders,OAK,10
152,(K2),Steven,Hauschka,SEA,5
153,(K3),Dan,Bailey,DAL,7
154,(K4),Justin,Tucker,BAL,8
155,(K5),Adam,Vinatieri,IND,10
156,(K6),Chris,Boswell,PIT,8
157,(K7),Mason,Crosby,GB,4
158,(K8),Graham,Gano,CAR,7
159,(K9),Chandler,Catanzaro,ARI,9
160,(K10),Matt,Prater,DET,10
161,(RB53),Javorius,Allen,BAL,8
162,(RB54),Alfred,Morris,DAL,7
163,(RB55),Tevin,Coleman,ATL,11
164,(WR62),Terrelle,Pryor,CLE,13
165,(TE13),Eric,Ebron,DET,10
166,(TE14),Jason,Witten,DAL,7
167,(TE15),Zach,Miller,CHI,9
168,(WR63),Pierre,Garcon,WAS,9
169,(QB16),Jameis,Winston,TB,6
170,(QB17),Derek,Carr,OAK,10
171,(QB18),Ryan,Fitzpatrick,NYJ,11
172,(RB56),Christine,Michael,SEA,5
173,(RB57),James,Starks,GB,4
174,(TE16),Jimmy,Graham,SEA,5
175,(TE17),Charles,Clay,BUF,10
176,(RB58),Shaun,Draughn,SF,8
177,(RB59),DeAndre,Washington,OAK,10
178,(RB60),Tim,Hightower,NO,5
179,(TE18),Clive,Walford,OAK,10
180,(TE19),Jared,Cook,GB,4
181,(WR64),Dorial,Green-Beckham,PHI,4
182,(WR65),Rishard,Matthews,TEN,13
183,(WR66),Chris,Conley,KC,5
184,(WR67),Breshad,Perriman,BAL,8
185,(WR68),Jamison,Crowder,WAS,9
186,(RB61),Charcandrick,West,KC,5
187,(WR69),Braxton,Miller,HOU,9
188,(WR70),Anquan,Boldin,DET,10
189,(DST11),Minnesota,Vikings,MIN,6
190,(DST12),New,England Patriots,NE,9
191,(K11),Roberto,Aguayo,TB,6
192,(K12),Josh,Brown,NYG,8
193,(QB19),Marcus,Mariota,TEN,13
194,(QB20),Ryan,Tannehill,MIA,8
195,(QB21),Joe,Flacco,BAL,8
196,(WR71),Laquon,Treadwell,MIN,6
197,(WR72),Kenny,Britt,LA,8
198,(WR73),Terrance,Williams,DAL,7
199,(RB62),Ka'Deem,Carey,CHI,9
200,(RB63),Benjamin,Cunningham,LA,8
201,(RB64),C.J.,Prosise,SEA,5
202,(RB65),Jordan,Howard,CHI,9
203,(RB66),Justin,Forsett,FA,--
204,(RB67),Lance,Dunbar,DAL,7
205,(RB68),Reggie,Bush,BUF,10
206,(RB69),Chris,Johnson,ARI,9
207,(RB70),Wendell,Smallwood,PHI,4
208,(RB71),Cameron,Artis-Payne,CAR,7
209,(TE20),Kyle,Rudolph,MIN,6
210,(TE21),Dwayne,Allen,IND,10
211,(TE22),Jordan,Cameron,MIA,8
212,(WR74),Nelson,Agholor,PHI,4
213,(WR75),Jaelen,Strong,HOU,9
214,(WR76),Josh,Doctson,WAS,9
215,(WR77),Ted,Ginn Jr.,CAR,7
216,(WR78),Sammie,Coates,PIT,8
217,(WR79),Quinton,Patton,SF,8
218,(WR80),Davante,Adams,GB,4
219,(QB22),Matt,Ryan,ATL,11
220,(QB23),Alex,Smith,KC,5
221,(DST13),Buffalo,Bills,BUF,10
222,(DST14),Los,Angeles Rams,LA,8
223,(K13),Blair,Walsh,MIN,6
224,(K14),Cairo,Santos,KC,5
225,(WR81),Charles,Johnson,MIN,6
226,(WR82),Malcolm,Mitchell,NE,9
227,(WR83),Kendall,Wright,TEN,13
228,(WR84),Brandon,LaFell,CIN,9
229,(WR85),Robert,Woods,BUF,10
230,(WR86),Seth,Roberts,OAK,10
231,(WR87),Marqise,Lee,JAC,5
232,(WR88),Rod,Streater,SF,8
233,(WR89),Jermaine,Kearse,SEA,5
234,(WR90),Quincy,Enunwa,NYJ,11
235,(RB72),Mike,Gillislee,BUF,10
236,(RB73),D.J.,Foster,NE,9
237,(RB74),Robert,Turbin,IND,10
238,(RB75),Paul,Perkins,NYG,8
239,(RB76),Kenyan,Drake,MIA,8
240,(RB77),Tyler,Ervin,HOU,9
241,(RB78),Dion,Lewis,NE,9
242,(RB79),Andre,Ellington,ARI,9
243,(QB24),Brock,Osweiler,HOU,9
244,(QB25),Jay,Cutler,CHI,9
245,(QB26),Robert,Griffin,CLE,13
246,(TE23),Virgil,Green,DEN,11
247,(TE24),Vance,McDonald,SF,8
248,(TE25),Austin,Seferian-Jenkins,TB,6
249,(TE26),Crockett,Gillmore,BAL,8
250,(RB80),Zach,Zenner,DET,10
251,(WR91),Tyrell,Williams,SD,11
252,(WR92),Justin,Hardy,ATL,11
253,(DST15),Jacksonville,Jaguars,JAC,5
254,(DST16),Tampa,Bay Buccaneers,TB,6
255,(K15),Robbie,Gould,CHI,9
256,(K16),Brandon,McManus,DEN,11
257,(TE27),Jesse,James,PIT,8
258,(TE28),Maxx,Williams,BAL,8
259,(TE29),Larry,Donnell,NYG,8
260,(WR93),Cole,Beasley,DAL,7
261,(WR94),Eddie,Royal,CHI,9
262,(WR95),Adam,Humphries,TB,6
263,(WR96),J.J.,Nelson,ARI,9
264,(RB81),Kenjon,Barner,PHI,4
265,(RB82),Khiry,Robinson,NYJ,11
266,(QB27),Carson,Wentz,PHI,4
267,(QB28),Sam,Bradford,MIN,6
268,(QB29),Dak,Prescott,DAL,7
269,(QB30),Tony,Romo,DAL,7
270,(QB31),Trevor,Siemian,DEN,11
271,(WR97),Albert,Wilson,KC,5
272,(WR98),Rashad,Greene,JAC,5
273,(WR99),Pharoh,Cooper,LA,8
274,(WR100),Victor,Cruz,NYG,8
275,(WR101),Andre,Johnson,TEN,13
276,(RB83),Brandon,Bolden,NE,9
277,(RB84),Jalen,Richard,OAK,10
278,(RB85),Malcolm,Brown,LA,8
279,(RB86),Josh,Ferguson,IND,10
280,(RB87),Alfred,Blue,HOU,9
281,(RB88),Antonio,Andrews,TEN,13
282,(RB89),Mike,Davis,SF,8
283,(RB90),Fozzy,Whittaker,CAR,7
284,(RB91),Fitzgerald,Toussaint,PIT,8
285,(DST17),Baltimore,Ravens,BAL,8
286,(DST18),Chicago,Bears,CHI,9
287,(K17),Nick,Novak,HOU,9
288,(K18),Matt,Bryant,ATL,11
289,(TE30),Will,Tye,NYG,8
290,(TE31),Jacob,Tamme,ATL,11
291,(TE32),Tyler,Higbee,LA,8
292,(TE33),Cameron,Brate,TB,6
293,(TE34),Lance,Kendricks,LA,8
294,(WR102),Leonte,Carroo,MIA,8
295,(WR103),Paul,Richardson,SEA,5
296,(QB32),Blaine,Gabbert,SF,8
297,(DST19),Philadelphia,Eagles,PHI,4
298,(DST20),Washington,Redskins,WAS,9
299,(DST21),Pittsburgh,Steelers,PIT,8
300,(DST22),Atlanta,Falcons,ATL,11
