"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV"
"1",1,"Todd Gurley II",FA,"RB1","1","6","1.8","1.0"
"2",1,"David Johnson",HOU,"RB2","1","13","2.8","2.2"
"3",1,"Antonio Brown",FA,"WR1","1","9","4.2","1.6"
"4",1,"Ezekiel Elliott",DAL,"RB3","1","18","5.2","2.7"
"5",2,"Alvin Kamara",NO,"RB4","2","21","6.5","3.6"
"6",2,"DeAndre Hopkins",ARI,"WR2","3","14","7.5","2.2"
"7",2,"Odell Beckham Jr.",FA,"WR3","3","16","8.1","2.5"
"8",2,"Saquon Barkley",NYG,"RB5","2","22","9.3","4.4"
"9",2,"Julio Jones",FA,"WR4","4","20","10.9","2.7"
"10",2,"Melvin Gordon III",FA,"RB6","3","32","11.6","5.6"
"11",2,"Michael Thomas",NO,"WR5","4","20","11.7","3.1"
"12",2,"Keenan Allen",LAC,"WR6","6","20","13.2","2.9"
"13",3,"Le'Veon Bell",FA,"RB7","1","83","13.8","15.5"
"14",3,"Kareem Hunt",CLE,"RB8","6","38","14.4","5.2"
"15",3,"Leonard Fournette",TB,"RB9","3","31","15.1","4.9"
"16",3,"Davante Adams",LV,"WR7","8","29","15.9","3.8"
"17",3,"A.J. Green",ARI,"WR8","8","26","16.4","3.3"
"18",3,"Christian McCaffrey",CAR,"RB10","5","78","17.0","8.1"
"19",3,"Dalvin Cook",MIN,"RB11","7","57","20.5","7.3"
"20",3,"Rob Gronkowski",FA,"TE1","14","51","22.6","6.1"
"21",4,"Mike Evans",TB,"WR9","10","42","23.6","5.0"
"22",4,"Devonta Freeman",BAL,"RB12","14","49","24.2","6.6"
"23",4,"T.Y. Hilton",IND,"WR10","13","43","24.8","5.6"
"24",4,"Larry Fitzgerald",FA,"WR11","12","42","25.7","6.2"
"25",4,"Stefon Diggs",BUF,"WR12","15","50","27.6","6.8"
"26",4,"Travis Kelce",KC,"TE2","17","53","27.9","6.9"
"27",4,"Adam Thielen",MIN,"WR13","9","60","28.7","7.9"
"28",4,"Tyreek Hill",MIA,"WR14","16","48","28.9","6.0"
"29",4,"Doug Baldwin",FA,"WR15","16","69","31.5","9.5"
"30",4,"Joe Mixon",CIN,"RB13","9","74","32.1","11.9"
"31",4,"Jordan Howard",PHI,"RB14","16","77","32.7","8.8"
"32",4,"Amari Cooper",CLE,"WR16","15","89","33.4","9.8"
"33",4,"Jarvis Landry",FA,"WR17","16","64","35.5","8.5"
"34",4,"Golden Tate",FA,"WR18","21","68","36.0","7.6"
"35",4,"Demaryius Thomas",FA,"WR19","19","64","36.0","7.5"
"36",4,"LeSean McCoy",FA,"RB15","14","83","36.6","12.0"
"37",4,"Zach Ertz",ARI,"TE3","17","73","37.3","9.8"
"38",5,"Aaron Rodgers",GB,"QB1","27","261","39.9","20.2"
"39",5,"Kenyan Drake",LV,"RB16","18","98","41.8","13.6"
"40",5,"Allen Robinson II",LAR,"WR20","25","91","43.3","12.8"
"41",5,"Alex Collins",SEA,"RB17","20","96","44.6","12.1"
"42",5,"JuJu Smith-Schuster",KC,"WR21","28","83","44.8","9.5"
"43",5,"Lamar Miller",FA,"RB18","21","144","50.0","17.5"
"44",5,"Brandin Cooks",HOU,"WR22","26","97","50.8","12.4"
"45",5,"Marvin Jones Jr.",JAC,"WR23","30","89","51.4","11.1"
"46",5,"Russell Wilson",DEN,"QB2","32","259","52.9","22.1"
"47",5,"Chris Hogan",FA,"WR24","29","133","53.3","17.1"
"48",5,"Tom Brady",TB,"QB3","31","262","54.0","21.1"
"49",5,"Josh Gordon",KC,"WR25","22","109","54.0","15.6"
"50",5,"Royce Freeman",HOU,"RB19","21","121","54.4","16.6"
"51",5,"Corey Davis",NYJ,"WR26","29","114","55.0","15.0"
"52",6,"Cam Newton",FA,"QB4","34","265","57.5","22.6"
"53",6,"Jay Ajayi",FA,"RB20","26","115","57.8","16.3"
"54",6,"Dion Lewis",FA,"RB21","37","120","58.5","14.8"
"55",6,"Emmanuel Sanders",BUF,"WR27","33","137","58.8","15.4"
"56",6,"Michael Crabtree",FA,"WR28","34","107","59.1","15.2"
"57",6,"Derrick Henry",TEN,"RB22","32","105","62.2","14.8"
"58",6,"Greg Olsen",FA,"TE4","34","104","62.7","13.4"
"59",6,"Deshaun Watson",CLE,"QB5","35","260","63.0","22.2"
"60",6,"Jimmy Graham",CHI,"TE5","25","111","66.2","15.7"
"61",6,"Marquise Goodwin",CHI,"WR29","36","205","67.5","22.5"
"62",6,"Mark Ingram II",NO,"RB23","32","143","68.0","20.0"
"63",6,"Jamison Crowder",BUF,"WR30","37","120","68.5","15.1"
"64",6,"Delanie Walker",FA,"TE6","35","105","69.1","12.8"
"65",6,"Drew Brees",FA,"QB6","44","263","69.8","21.5"
"66",6,"Rex Burkhead",HOU,"RB24","34","145","68.9","22.3"
"67",6,"Evan Engram",JAC,"TE7","36","120","74.3","15.7"
"68",6,"Sammy Watkins",BAL,"WR31","36","139","71.5","17.6"
"69",6,"Marshawn Lynch",FA,"RB25","24","151","75.3","18.5"
"70",6,"Robby Anderson",CAR,"WR32","39","128","76.8","16.1"
"71",6,"Cooper Kupp",LAR,"WR33","34","135","75.0","16.4"
"72",6,"Kyle Rudolph",FA,"TE8","41","125","78.8","15.1"
"73",7,"Robert Woods",TEN,"WR34","45","190","78.8","20.7"
"74",7,"Tevin Coleman",NYJ,"RB26","45","142","78.9","19.8"
"75",7,"Kirk Cousins",MIN,"QB7","50","275","82.0","23.0"
"76",7,"Pierre Garcon",FA,"WR35","44","136","79.8","17.0"
"77",7,"Chris Thompson",FA,"RB27","38","215","78.3","26.1"
