"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Christian McCaffrey",CAR,"RB1","13","3 out of 5 stars","-"
"2",1,"Dalvin Cook",MIN,"RB2","7","4 out of 5 stars","-"
"3",1,"Alvin Kamara",NO,"RB3","6","4 out of 5 stars","-"
"4",1,"Davante Adams",LV,"WR1","8","2 out of 5 stars","-"
"5",1,"Derrick Henry",TEN,"RB4","13","2 out of 5 stars","-"
"6",1,"Ezekiel Elliott",DAL,"RB5","7","3 out of 5 stars","-"
"7",1,"Aaron Jones",GB,"RB6","13","2 out of 5 stars","-"
"8",2,"Austin Ekeler",LAC,"RB7","7","3 out of 5 stars","-"
"9",2,"Tyreek Hill",MIA,"WR2","14","5 out of 5 stars","-"
"10",2,"Stefon Diggs",BUF,"WR3","7","4 out of 5 stars","-"
"11",2,"Saquon Barkley",NYG,"RB8","10","2 out of 5 stars","-"
"12",2,"DeAndre Hopkins",ARI,"WR4","12","3 out of 5 stars","-"
"13",2,"Calvin Ridley",ATL,"WR5","6","3 out of 5 stars","-"
"14",2,"Travis Kelce",KC,"TE1","12","3 out of 5 stars","-"
"15",2,"Jonathan Taylor",IND,"RB9","14","2 out of 5 stars","-"
"16",2,"Justin Jefferson",MIN,"WR6","7","2 out of 5 stars","-"
"17",3,"D.K. Metcalf",SEA,"WR7","9","4 out of 5 stars","-"
"18",3,"Antonio Gibson",WAS,"RB10","9","3 out of 5 stars","-"
"19",3,"Darren Waller",LV,"TE2","8","3 out of 5 stars","-"
"20",3,"Nick Chubb",CLE,"RB11","13","4 out of 5 stars","-"
"21",3,"A.J. Brown",TEN,"WR8","13","3 out of 5 stars","-"
"22",3,"Keenan Allen",LAC,"WR9","7","3 out of 5 stars","-"
"23",3,"Joe Mixon",CIN,"RB12","10","5 out of 5 stars","-"
"24",3,"Allen Robinson II",LAR,"WR10","11","3 out of 5 stars","-"
"25",3,"George Kittle",SF,"TE3","6","4 out of 5 stars","-"
"26",3,"Patrick Mahomes II",KC,"QB1","12","3 out of 5 stars","-"
"27",3,"Terry McLaurin",WAS,"WR11","9","2 out of 5 stars","-"
"28",3,"Najee Harris",PIT,"RB13","7","4 out of 5 stars","-"
"29",3,"Clyde Edwards-Helaire",KC,"RB14","12","4 out of 5 stars","-"
"30",3,"CeeDee Lamb",DAL,"WR12","7","4 out of 5 stars","-"
"31",3,"D'Andre Swift",DET,"RB15","9","4 out of 5 stars","-"
"32",4,"Robert Woods",TEN,"WR13","13","3 out of 5 stars","-"
"33",4,"Amari Cooper",CLE,"WR14","13","3 out of 5 stars","-"
"34",4,"David Montgomery",CHI,"RB16","10","4 out of 5 stars","-"
"35",4,"Chris Carson",SEA,"RB17","9","1 out of 5 stars","-"
"36",4,"Chris Godwin",TB,"WR15","9","4 out of 5 stars","-"
"37",4,"Cooper Kupp",LAR,"WR16","11","3 out of 5 stars","-"
"38",4,"Mike Evans",TB,"WR17","9","4 out of 5 stars","-"
"39",4,"Diontae Johnson",PIT,"WR18","7","2 out of 5 stars","-"
"40",4,"James Robinson",JAC,"RB18","7","2 out of 5 stars","-"
"41",4,"Josh Allen",BUF,"QB2","7","3 out of 5 stars","-"
"42",4,"DJ Moore",CAR,"WR19","13","4 out of 5 stars","-"
"43",4,"Tyler Lockett",SEA,"WR20","9","4 out of 5 stars","-"
"44",4,"Julio Jones",FA,"WR21","-","-","-"
"45",4,"Miles Sanders",PHI,"RB19","14","3 out of 5 stars","-"
"46",4,"Kyler Murray",ARI,"QB3","12","3 out of 5 stars","-"
"47",4,"Adam Thielen",MIN,"WR22","7","2 out of 5 stars","-"
"48",4,"Tee Higgins",CIN,"WR23","10","4 out of 5 stars","-"
"49",4,"Josh Jacobs",LV,"RB20","8","3 out of 5 stars","-"
"50",5,"T.J. Hockenson",DET,"TE4","9","3 out of 5 stars","-"
"51",5,"Mark Andrews",BAL,"TE5","8","3 out of 5 stars","-"
"52",5,"Mike Davis",ATL,"RB21","6","3 out of 5 stars","-"
"53",5,"Lamar Jackson",BAL,"QB4","8","3 out of 5 stars","-"
"54",5,"Brandon Aiyuk",SF,"WR24","6","3 out of 5 stars","-"
"55",5,"Myles Gaskin",MIA,"RB22","14","4 out of 5 stars","-"
"56",5,"Kyle Pitts",ATL,"TE6","6","2 out of 5 stars","-"
"57",5,"Darrell Henderson Jr.",LAR,"RB23","11","3 out of 5 stars","-"
"58",5,"Kareem Hunt",CLE,"RB24","13","4 out of 5 stars","-"
"59",5,"Dak Prescott",DAL,"QB5","7","3 out of 5 stars","-"
"60",5,"Chase Claypool",PIT,"WR25","7","2 out of 5 stars","-"
"61",5,"Jerry Jeudy",DEN,"WR26","11","4 out of 5 stars","-"
"62",5,"Chase Edmonds",MIA,"RB25","14","4 out of 5 stars","-"
"63",5,"Damien Harris",NE,"RB26","14","4 out of 5 stars","-"
"64",5,"JuJu Smith-Schuster",KC,"WR27","12","2 out of 5 stars","-"
"65",5,"Odell Beckham Jr.",FA,"WR28","-","-","-"
"66",5,"Russell Wilson",DEN,"QB6","11","5 out of 5 stars","-"
"67",5,"Robby Anderson",CAR,"WR29","13","4 out of 5 stars","-"
"68",5,"Tyler Boyd",CIN,"WR30","10","4 out of 5 stars","-"
"69",5,"Aaron Rodgers",GB,"QB7","13","4 out of 5 stars","-"
"70",5,"Javonte Williams",DEN,"RB27","11","4 out of 5 stars","-"
"71",5,"Kenny Golladay",NYG,"WR31","10","3 out of 5 stars","-"
"72",5,"Courtland Sutton",DEN,"WR32","11","4 out of 5 stars","-"
"73",5,"Ja'Marr Chase",CIN,"WR33","10","4 out of 5 stars","-"
"74",5,"Justin Herbert",LAC,"QB8","7","2 out of 5 stars","-"
"75",5,"Raheem Mostert",MIA,"RB28","14","4 out of 5 stars","-"
"76",6,"Brandin Cooks",HOU,"WR34","10","3 out of 5 stars","-"
"77",6,"Noah Fant",SEA,"TE7","9","1 out of 5 stars","-"
